First Name,Last Name,Email,Phone,Gender,Department,Job Title,Years Of Experience,Salary
Jose,Lopez,joselopez0194@slingacademy.com,+1-971-533-4552x1542,male,Product,Web Developer,2,6000
Diane,Carter,dianecarter1345@slingacademy.com,881.633.0107,female,Human Resource,HR Manager,13,11500
Sherry,Foster,sherryfoster2572@slingacademy.com,001-966-861-0065x493,female,Product,Tester,8,11000
Brenda,Fisher,brendafisher3114@slingacademy.com,001-574-564-4648,female,Product,Project Manager,14,17000
Sharon,Hunter,sharonhunter4898@slingacademy.com,5838355842,female,Product,Machine Learning Engineer,7,10500
Kimberly,Jacobs,kimberlyjacobs5924@slingacademy.com,053-913-2609,female,Product,Tester,6,9000
Brianna,Marshall,briannamarshall6448@slingacademy.com,701-932-8553,female,Product,Mobile Developer,3,7500
Karen,Tate,karentate7771@slingacademy.com,001-889-992-5260x62725,female,Product,Web Developer,5,7500
Jillian,Byrd,jillianbyrd8138@slingacademy.com,077-635-0084x1647,female,Product,Web Developer,14,13000
Michael,Sharp,michaelsharp9813@slingacademy.com,(848)212-0230,male,Product,Project Manager,12,16000
Chad,Mckee,chadmckee10225@slingacademy.com,001-085-315-6112x464,male,Product,Mobile Developer,9,9500
Robert,Simpson,robertsimpson11340@slingacademy.com,496-469-5331x659,male,Product,Mobile Developer,1,6500
George,Mckenzie,georgemckenzie12490@slingacademy.com,(843)416-2489,male,Product,Designer,15,15500
Kelly,Smith,kellysmith13393@slingacademy.com,-4775,female,Human Resource,HR Manager,12,11000
David,Crawford,davidcrawford14904@slingacademy.com,(848)716-0019x0240,male,Product,Machine Learning Engineer,7,11500
Carrie,Benson,carriebenson15369@slingacademy.com,+1-368-801-2914x8616,female,Product,DevOps Engineer,10,13000
Nicole,Smith,nicolesmith16537@slingacademy.com,289.372.5080x2156,female,Product,Machine Learning Engineer,8,12000
Nicole,Jimenez,nicolejimenez17569@slingacademy.com,001-535-827-3787x317,female,Product,Machine Learning Engineer,13,11500
Sheila,Boyle,sheilaboyle18433@slingacademy.com,3027626274,female,Product,DevOps Engineer,9,13500
Brianna,Moss,briannamoss19877@slingacademy.com,+1-529-287-4857x163,female,Product,Designer,9,10500
